#ID field umap_x umap_y z z_type z_16 z_84 ssfr_50 ssfr_16 ssfr_84 SFR_100_50 SFR_100_16 SFR_100_84 mwa_50 mwa_16 mwa_84 mstar_50 mstar_16 mstar_84 AV_50 AV_16 AV_84
15326 gds -0.398 -0.928 2.8800 phot 1.9750 2.9830 -8.597 -8.817 -8.359 -0.015 -0.152 0.129 0.297 0.166 0.482 8.596 8.484 8.683 0.268 0.146 0.386
15570 gds -2.805 -4.412 3.0200 phot 1.9260 3.4510 -9.039 -9.142 -8.836 -0.346 -0.424 -0.220 0.883 0.523 1.055 8.690 8.619 8.742 0.231 0.133 0.362
15675 gds -0.521 -1.143 3.0100 phot 2.7970 3.2810 -8.361 -8.650 -8.086 -0.298 -0.484 -0.121 0.159 0.082 0.315 8.082 7.987 8.174 0.203 0.103 0.353
15893 gds -3.172 -4.629 3.4700 phot 3.2430 3.9340 -8.838 -8.989 -8.683 -0.095 -0.205 0.017 0.526 0.341 0.771 8.750 8.682 8.807 0.272 0.183 0.391
16076 gds -1.516 -0.302 0.9500 phot 0.9300 5.5380 -19.727 -126.945 -9.714 -12.259 -119.745 -1.933 4.162 2.589 5.184 7.964 7.772 8.051 1.026 0.686 1.494
16170 gds -3.361 -0.269 3.3900 phot 3.2920 3.5540 -22.189 -54.433 -12.616 -12.080 -45.408 -2.429 0.637 0.496 0.963 10.591 10.570 10.615 0.441 0.260 0.601
18027 gds -0.776 -0.658 2.9200 phot 2.1390 2.9910 -9.006 -9.119 -8.794 -0.487 -0.559 -0.347 0.829 0.466 1.080 8.527 8.451 8.577 0.106 0.050 0.227
18440 gds -0.825 -0.388 2.9700 phot 2.6880 3.0410 -8.783 -9.005 -8.580 -0.004 -0.142 0.124 0.482 0.279 0.832 8.794 8.709 8.874 0.169 0.089 0.263
18486 gds -6.088 -2.857 4.6900 phot 4.5640 4.7320 -7.987 -7.991 -7.982 -0.804 -0.929 -0.672 0.003 0.003 0.004 7.313 7.238 7.374 0.110 0.075 0.155
19378 gds -0.466 -0.987 2.9600 phot 2.3450 3.1750 -9.017 -9.690 -8.739 -0.479 -0.905 -0.293 0.551 0.300 1.009 8.515 8.428 8.583 0.223 0.105 0.355
20059 gds -0.592 -1.022 3.0200 phot 2.8840 3.1920 -8.757 -8.949 -8.507 0.518 0.401 0.656 0.430 0.226 0.713 9.281 9.180 9.357 0.185 0.099 0.291
